target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000064,2025/08/11,03 05 09 16 18 19,02,02 04 08 21 33 38,03,,0,0,1,0,1,2-4,4-2,3-3,6-0,106,70,36,16,1,2,0.0,,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000065,2025/08/14,01 11 14 17 19 36,03,09 11 17 24 32 35,04,11 17,2,0,2,1,3,4-2,4-2,3-3,5-1,128,98,26,35,1,1,0.0,,"second_miss,low_high_bias,sum_gap_large"
114000066,2025/08/18,02 05 08 17 20 26,06,11 17 20 26 27 37,08,17 20 26,3,0,3,1,3,4-2,2-4,2-4,4-2,138,78,26,24,2,1,0.0,,"main_good_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000067,2025/08/21,02 04 11 12 16 19,02,09 12 20 25 34 37,07,12,1,0,2,0,2,3-3,2-4,2-4,6-0,137,64,28,17,1,2,0.0,,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000068,2025/08/25,01 12 14 21 36 37,03,05 07 14 15 17 26,05,14,1,0,2,0,2,4-2,3-3,5-1,3-3,84,121,21,36,2,2,0.0,,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000069,2025/08/28,09 13 14 17 23 30,05,02 12 14 23 25 29,04,14 23,2,0,2,1,2,3-3,4-2,3-3,4-2,105,106,27,21,1,2,0.0,,"second_miss,run_pattern_mismatch"
114000070,2025/09/01,02 07 16 18 28 29,04,01 05 14 17 19 33,08,,0,0,2,1,2,5-1,2-4,5-1,4-2,89,100,32,27,1,2,0.0,,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000071,2025/09/04,06 07 09 11 21 38,08,01 06 07 11 24 30,02,06 07 11,3,0,3,1,3,3-3,4-2,4-2,4-2,79,92,29,32,2,2,0.0,,"main_good_hit,second_miss"
114000072,2025/09/08,07 08 14 15 25 36,06,04 05 07 26 35 36,05,07 36,2,0,2,0,2,3-3,3-3,3-3,4-2,113,105,32,29,2,2,0.0,,second_miss
114000073,2025/09/11,11 18 21 27 31 35,06,04 06 14 27 30 33,04,27,1,0,2,1,2,2-4,5-1,3-3,2-4,114,143,29,24,1,1,0.0,,"main_one_hit,second_miss,odd_even_bias,sum_gap_large"
